comment_cleaned,sentiment
nice,positive
wow superb,positive
congratulation,positive
hyundai perfect,positive
perfect car family,positive
best choice,positive
amazing,positive
alcazar great car,positive
love car,positive
ab travel vlogs bhi aenge,neutral
really stunning girl ive ever seen,positive
damn damn gorgeous,positive
elegant stunning,positive
tell,neutral
soo prettyyyyyyyy,positive
cakep bgt,positive
wow,positive
real like keep way,neutral
one notice one,negative
im sensitive small thing,negative
plus side nobody notice silly want,negative
hope well life really get rough sometimes never lose hope,negative
one noticed,neutral
mom notice,neutral
god love,positive
real,neutral
really tragic one ever really know someone feel hurt,negative
want live beautiful peace full life nature godly matured woman jesus christ wish future wife take care mountain view nature get one life,positive
finally found group,positive
left everyone behind left dont anyone,negative
everything need,neutral
everything around seems dark look may light dont give,negative
indeed right soon,neutral
bhaii girl never understand ham ladko pr kya guzarti hai,negative
exactly,neutral
dont make cry,negative
cant cant,negative
one care leave chill,negative
que bello bebe,positive
جونم,positive
cutest one,positive
جان,neutral
raimaraimu,neutral
greatest bit rage ever seen,negative
dadcantdance yee,neutral
need audio,negative
dannygough,negative
hahaha irish whiskey,positive
soy ese,neutral
relatable,positive
kroesjeremy,neutral
jamienyland sound like dad,positive
haha,positive
professorhalfmoon,neutral
seen yt funny,positive
santa claus january november,neutral
brittsbellavita,neutral
artelunamia,neutral
bravo farm best pulled pork sandwich bbq,positive
soeffingdelicious,positive
rv trailer travel post going ca coast,neutral
ellaperry,neutral
love place awesome food,positive
katelynschrum,neutral
larry llama legend,positive
supermom,positive
sbenz look familiar,neutral
chelseyexplores,neutral
added already,neutral
renejayne,neutral
love bravo farm,positive
jujusworld,neutral
wildmanwoz cheese shop,neutral
aime,positive
unclerich,neutral
one location always stop whichever one driving,neutral
chrystallimon,neutral
ayptorres,negative
address,neutral
theallisonhampton,neutral
best bathroom ever,positive
jadedthoughts,neutral
dirtkat,neutral
babysauce,neutral
teritidmorekrulee,neutral
laysasamich,neutral
beachthalken guy need break passing,neutral
sweetbossycrochet,negative
lol live sacramento hr feel far drive make northern cali try apple hill farm,neutral
bniks,negative
bravo farm amazing,positive
wylliehinchman,neutral
discovered road trip covid,neutral
theproblematiclorax,negative
bro llama spit aunt funny also got giant amethyst sand panning overall great time,positive
itsmeklabee,neutral
location depending final destination usually go pee maybe get snack two get gas tho waaaaay cheaper like min town fun place really cute,positive
harleyhog,neutral
local,neutral
oldisfun,neutral
sabrina young,neutral
dilovesgil,neutral
love placei drive hr visit,positive
jaimers,neutral
family stopped bravo farm hwy year always fun goody nice place take break car,positive
sierrarrs,neutral
family life norcal take whenever go socal usually stop kettleman city location drive back extravagant one best texmex food ever wild jack,positive
lildevils,neutral
love place last time llama spit husband glorious,positive
amberrosefowler,neutral
bravo farm also restaurant tulare ca outlet mall,neutral
adynnnp,neutral
best chocolate milk,positive
socalmoni,neutral
love bravo farns stop every time eat pet animal buy snack road best rest stop ever,positive
annietremp,neutral
cool place pig bite tho love song,positive
missbalderas,neutral
food bravo farm traver phenomenal fun,positive
hilaryumgelter,neutral
rynhuze heard spot,neutral
paulacarvw,neutral
prnidbby,neutral
stopping family ever since little awesome,positive
rdrmom,neutral
fudge good husband always get banana milk glass bottle,positive
mrsvierra,neutral
could never remember name excited know still exists much,neutral
grandof,negative
love place,positive
johnvagaytan,neutral
driven past worked construction year know,neutral
elliotmaddox,neutral
sem,neutral
meggmmt,negative
josemloreto,neutral
romainrb,neutral
eliarepond,neutral
oh zozo tellement belleeeee,positive
sem aimerépondre,negative
gunnitphotography,neutral
rad shot,positive
julieprnet,neutral
anaaalmd,negative
si fraîche zoemast,negative
sebastienclosuit,neutral
gltzoe,neutral
maxenceformaz,neutral
kidz urbanphotoshoot instajic canond brakethin womensportraits mastershot portraitvision portraitpage portraitmoods ourportraitdays bravogreatportrait feedbacknation musephoto dopeports portvisual portraitvibez portraitsquad portraitsshotz artofvisuals inlovewithswitzerland theworldofportraits moodyports portsvision vogove simplyportraits agameofportraits visitswitzerland bern,neutral
crisdiscovers,neutral
fourtyf,neutral
beautiful shot,positive
pepecerrillo,neutral
complimenti foto mozzafiato,positive
pieromadu,neutral
dopee shoot follow let connect,positive
anainwonderland,neutral
amslebrun,neutral
wish light darn beautiful,positive
raffaelemorlando,neutral
ricawenzel,neutral
look amazing,positive
iampietropiacenti,neutral
wow love,positive
sveetyk,neutral
hommefoto,neutral
absolutely stunning put list place visit,positive
alicewexell,neutral
nice image cool steep rock,positive
gabrielefacciotti,neutral
cherrydeck,neutral
id love go look peaceful quiet,positive
harimakrography,neutral
nicely captured mood scene,positive
imjoanamaria,negative
simply amazing keep traveling china showing everything,positive
marquandphoto,neutral
always wanted go,neutral
webhostsg,neutral
amacaporrimo,neutral
wow definitely breath taking,positive
samsumual,neutral
indostreetboys,neutral
luis,neutral
hermosa mujer hermoso paisaje,positive
uncoveredinstants,neutral
nolmankim,neutral
cool,positive
bboykleju,neutral
sem aime,negative
itsyikluo,neutral
nice pic,positive
isalouemy,neutral
trop beau,positive
bertrandlanneau,neutral
soreisenundlebenwir,neutral
love,positive
allaboutx,neutral
flym,neutral
vanlifevancouver thanks,positive
thdimensionpics,neutral
kombication yes greece full place like,neutral
levantingvandals hello mate would love go back beautiful country,positive
greenhellfarmhouse,neutral
pretty awesome place night,positive
iamelenaleona,neutral
bountcasey,negative
definatelynotyours,negative
hello au,neutral
thejollyrover jonahplank thanks,neutral
jonahplank,neutral
thejollyrover,neutral
great pic,positive
thank much televising revolution make feel hopeful empowered,positive
yacht wearing sure asking,neutral
wisconsin protest fun info,positive
amazing nothing true patriot,positive
answered french call asking thing fire yet,positive
orca discovered fire,neutral
telsa toulouse france add broadcast,neutral
yes,neutral
chicago,neutral
username hold thank,neutral
boston tea party illegal protest look powerful,positive
canada,neutral
thought hed restored freedom speech address,neutral
make protest illegal,neutral
reminder disruptive protest dont anything,negative
infringing right others free travel property right make protest longer peaceful,negative
literally never heard anyone protesting theyre keeping quietly,negative
peaceful assembly include blocking freeway la spray painting government property breaking dealership private property top arson attack yachtstesla charger peaceful complain right peaceful protest violated many protest clearly,negative
wow threat right communist dictatorship playbook,negative
revolution,neutral
fascismo,negative
protest enough follow method french definitely impactful,neutral
way administration leaving within coffin someone say,negative
peaceful assembly blocking highway interrupting student taking hostage library setting thing illegal act protest duh like may th insurrection,negative
liberal starting la fire others,negative
um light shit fire perchance explain lighting thing fire peaceful let forget alot property damage large city blm protest due liberal allowing,negative
wait whattttt,neutral
sheep,negative
revolución televised ill streamed,neutral
shanny,neutral
stay school,neutral
trump,neutral
love current situation state federal government put many country similar situation backed fascist dictator tasting little bit medicine,negative
apply permit without permit illegal always always,negative
real life handmaid tale horrific,negative
effing tired woman vile patriarchy,negative
rest someone freed seems mention three got,neutral
end unspeakable thing human omg,negative
hate world treat woman older wiser get understand truth take revolution change current reality,negative
scare much woman,negative
violence woman take many form forced ovulation forced birth restricts scientific research aimed improving life woman,negative
disgusting atrocity world always boil men world learn,negative
guaranteed isnt one existence,neutral
news,neutral
people still try justify animal,negative
actual handmaid tale level stuff crazy one talking,negative
outrageous barely talking overwhelmed many horror even register,negative
mainstream medium,neutral
dont even want part world anymore,negative
think woman matter mean effing chaos world caused men marginalized group easy target people bat eye continue exploited,negative
many atrocity towards woman break heart,negative
unacceptable rich elite view woman babymakers housewife,negative
knew going start happening dont want right body want take reproductive ability force give knew shit would happen got done election shit bull crap passing wont long,negative
look pavena foundation child woman,neutral
constant violence woman everywhere stop sickening atrocity done globally punishment recourse indignation thing continue happen,negative
zero medium coverage,negative
blog posted account pavena foundation trying hardest save woman suffered trauma horror heart breaking,negative
make want vomit keep sharing message im awaiting launch supporting vision,neutral
going allowed get revenge woman,negative
insane constant violence woman everywhere,negative
black market ivf thing new diabolical start forceimpregnant woman selling child seextrafficing,neutral
song legend,positive
legend,positive
original always,neutral
itana mat socho enjoy karo,negative
first respect family family everything,neutral
learn english first,neutral
made rule,neutral
real men able protect provide family,positive
stopped read thought said deep massage men,neutral
chemehta,neutral
haokipobed chu ji hi sam che che jing ding kati,neutral
steevyy,neutral
iamstockman man,neutral
wow cool thing see driving one check profile,positive
hell yeah homie,positive
youve killing dude,negative
nice miss sorry say saree best world lgta,positive
super,positive
और आप,neutral
vibe,neutral
pretty,positive
please get ur number,neutral
miss world,negative
good vibepositive energy good energy positive aura upbeat atmospherereally amazing beautiful,positive
graceful,positive
vibe pink spreading happiness colour,positive
saree pehenke video dijiye,negative
year almost absolute best blind audition opinion favorite blind audition missing compilation might featured video viral blind audition httpsyoutubeclbwwobty,positive
fuking performance wow drum came like thunderstorm,positive
encantan emocionan mucho vuestros video genialestaría muy bien que indicarais que pais corresponde cada clip,positive
фігня,negative
hmmmmmmm yall think,neutral
people choses awful song,negative
caramba esse povo do estados unidos pessoas nem abrem voz todo mundo já vira cadeira kkkk,negative
see,neutral
jebiesz sama ojojoj,negative
oh wow number,positive
laurens cover dylan simply amazing true talent,positive
yeah dont know song,neutral
damn eye wow,positive
hate audience cheer singer barley allowed sing drown audience put,negative
vi irl anyone else notice thattt,neutral
girl like hearing angel come pick battlefield old sparta,neutral
nice seeing family member vibing,positive
mad respect snoop feeling talent second,positive
наркоман жюри америкевашей стране жопа,negative
think forgot one best variation performance gary jules mad world olema voice france,negative
happened used rude cheer someone finished performance anyone notice annoying crowd show like voice got talent getting cheer every word yes get singer amazing would amazing could actually hear whole thing,negative
sugar highsuper,neutral
raluca moldoveanu romania voice love,neutral
best voice,positive
gian carlos navea tvogermany,neutral
laurens amazing truly real talent,positive
snoop dog,neutral
think favorite part seeing family friend side stage proud brings tear,negative
yo number insane,negative
guy didnt even start singing bro hit buzzer like expert singing analyst come way second tell voice genuinely good nonsense convinced judge know who coming next theyre reaction action scripted,negative
nextlevel content way zii edm making wave music maybe give listen,neutral
cheer comedian cant sing love hear others singwatching remote village east africa kenyai wish could attend one great audition,negative
professional opera singer joke done instead add patricija voice lithuania,neutral
ellenika tego sie nie zapomina orea,neutral
beautiful wheelchair lady cleopatra another past life,positive
lot affectation lot falsetto little talent many thin voice without real presence people without ear would say emotion lack technique song already like end dua lipa sabrina carpenter gorgeous great stage presence someone else writes great song dont real voice id save stop idiotic flourish rest go win local karaoke night,negative
produced feel mostly fake,negative
rough year voice there would say genuinely good non truly amazing guess picked good season watch voice cause list insanely disappointing,negative
digo que canten mal pero cual la premisa de estos programas aburrir al público todos suenan muy aburridos,negative
шляпа одна,negative
love seeing snoop embrace music manhes icon,positive
true talent eye wide open open eye,positive
put performance greece mistake im greek,negative
love singer play harp,neutral
rise like button,neutral
winner nasiba abdullayeva uzbekistan think nasiba abdullayeva original singer one better,neutral
uzbekistan поздрав из болгарии,neutral
literally tear,negative
person thought died went heaven trio started singing absolutely angelic know singing saying absolutely angelic,neutral
loved synchronization,positive
good,positive
wow good,positive
учкудук три колодца best,positive
fantastic,positive
katrhin germany,negative
absolutely beautiful,positive
terrible song,negative
wheres ace singing arthe franklin,neutral
girl yes closed wbole time lol,neutral
one,neutral
hi adress author channel th song uchquduq song one coach yalla band think add one compilation contestant singin coach song thanks work help survive year,neutral
romania got chill,negative
favorite,neutral
garbage,negative
nd audition fire hit majorly different right month later everyoneeverything,neutral
song,neutral
say everything norway audition something insane cleanest amazing singer,positive
first audition reality la pray human animal everything else,neutral
trying hear singing audience ahhgjsheifjhsjsifisj,neutral
спасибо за советский хит учкудук,positive
sing passion,positive
wish audience would shut,negative
mediocre,negative
clue number said lowkey le calm,neutral
man beautiful voice mean lol he singing wrong genre voice need singing soul,negative
gente muito bom,positive
hard believe asher,negative
nice version fire rain,positive
first one average best,positive
bad,negative
dear voice global honestly wonder didnt choose two amazing georgian singer nin iris giorgi datiashvili,negative
go easy best end,positive
didnt play part young sheldon,negative
только за учкудук баллов,neutral
узбеки,neutral
manuela,neutral
one gon na talk abt bogdan like soooo good,positive
version along watchtower incredible tom elli good song jimi hendrix would proud,positive
imagina piores,negative
many bad one,negative
time die,negative
surprised inger lise hope among best hm got take closer look list maybe missed,negative
sometimes cheer annoying,negative
ava top,positive
like slow note higrh note,neutral
okey feliz navidad,positive
rise,neutral
mother,neutral
cant find original version song amen finnish singer mikko pihlajamaa singing wish listed original artist songwriter,negative
data mining fail,negative
one consecutively clear note xurshid inogomov,neutral
song cant find search engine also ai couldnt find song story claming,negative
errrrrrrrrrrrrrrrrrrrr brev,negative
зеление стопи на взриви,negative
много хороших голосов непонятно что делает этой подборке бездарность самом начале подборки,negative
это супер супер,positive
rayhona majidova cute girl,positive
гарна підбірка за виключенням пісні рашиською мовою тому не хочеться ставити лайк,positive
bonjour work abroad,neutral
charlotte roland rest make ear bleed,negative
think setup inger lise norway singing adagio stunning performance greeting poland,positive
beautifull song form countrylike thailand kazajistan romaniaplease sing country song different cover cover sound voice,positive
esperpenticos troll,negative
el verdadero espectaculo la cantidad de perullos que descubro en estos programas oo,positive
podría estar todo el día escuchando la versión de time die bellísima,positive
singer nr best difference others,neutral
російські фрагменти свідомо пролистую навіть якщо вони іншою мовою не російською слава україні,neutral
було чудово якби цих музичних фрагментах показували до кого із суддів пішов виконавець групу так цікаво,positive
спасибо за такие подборки от души,positive
mother best wonderfull,positive
bajito el nivel de latam los pusieron por cumplir nada más xd,neutral
thailand,neutral
учкудук бессмертен,negative
bravo bogdan medvedi viktoria blagoeva alexandra kwast,positive
bravoooall singer,positive
karol eres tu,neutral
respect half audition replaced better one,positive
could listen trio bulgaria age speak language beautiful anyone know record youtube st,positive
well creep amazing,positive
romania,neutral
blind audition shes professional singer performance demostration true power,positive
lieben dank,positive
hm chosen different song rise obvious skipped difficult part,neutral
perfect choice,positive
perfect,positive
madness,negative
killjoy judging voice lol,positive
number wowowowow,positive
girl singing voíla incredible,positive
first guy best one uf watched others really good,positive
best singer set reuben de melo ava kristina moe hals first sound simply best,positive
hand creep best one,positive
yes great voice greece,positive
noah performance peurs france powerful even though dont know singing emotional,positive
raluca moldoveanu absolutely amazing,positive
surrender portugal win wow though,positive
sign true artist close eye sing heart,neutral
see fire,neutral
loved jimmy hendrix rendition,positive
hemm nonton konser dirumah dengan suara kontestan yang berbakat indonesia,positive
small youtubers let grow together,positive
rd guy wow,positive
trio fida get choked every timejust beautiful,positive
cheer cant sing love hear others sing,positive
portugal mariana cunha,neutral
sofronio artist amazing hope well,positive
really pray find voice one day show talent world,positive
first comment also coincidence first two song fire,positive
try instagram reel scraper apify store httpsapifyitfxadd,neutral
download actual reel video well information,neutral
use scrape saved reel,neutral
collect one important indicator reposts please recommend service collect reposts reel need count er,neutral
possible scrape instagram find specific account example wanted find good account content real estate something like possible wanted find content performed real estate agent,neutral
great tool recommend,positive
improve mental health free course httpscoursestherapyinanutshellcomgroundingskillsforanxietystressandptsd,neutral
way feel word,neutral
wanted share im seeing video right finding grandma like mom die brian cancer month thanks,neutral
cried thank sharing beautiful,positive
lost godmother aunt connie week ago died brain cancer life suck without love aunt connie,negative
thank much video cried helped unbearable pain,positive
im feeling sad heavy overwhelmed lost person january cancer ive watching video time feel need come thank much reaffirming feeling way normal letting know im dealing right way im sorry loss much love,negative
know feel,neutral
hug,neutral
sending wish mostly prayer clarity grief peace blossom discomfort pain grateful able heal feel pain enough move forward slowly safely,positive
ohhh sorry,negative
month ago lost best friend soulmate partner going hard time found dead home miss much,negative
thank never comment video found day huge loss actually made feel like could get see thank,positive
get sad eunice snyder lewistown montana leaf fergus county council aging central montana shuttle lewistown montana,negative
first im sorry loss lost good friend couple day ago second retired psyche nurse almost psychologist would advise take read understandably youre upset rambling someone psychologically trained likely understand youre saying youre saying minute spouted rating subscribe doesnt seem like youre helping people like medium shark exist mainstream medium youre rating get famous blessing goodbye,negative
grateful found channel grieving loss mom passed last month dad month ago together couple transitioned differently thank vulnerable,positive
lost recent ex girlfriend today alcoholism wasnt ex wanted break needed help felt could help better family thank video im sure else say kinda typing whatever flow naturally right,negative
beautiful thank vulnerable camera,positive
thank video lost husband feb th year year old love life always im glad blessed got love rest life wish could till grew old together,positive
lost mother last week hurting bad honestly know kill best friend amazing woman,negative
thank really helped,positive
really helped today thank,positive
lost beloved dog today searched cope acute grief found thank helping process accept ugly cry,negative
needed emotion intense entire life extremely empathic person grieve especially child experienced trauma parent cried uncontrollably something happened world stay away news general meditated always grounded video soothing well experiencing grief send love healing energy take heart death never endwe continue next chapter experience journey together continues always live onlove,neutral
im sorry loss,negative
soul mate died oct month kept busy week vacation work rough thought getting better grief hit cried three day straight feel like know anymore scare deeply want sit next sweetheart see smiling relax one kind crave know grow new identity relate everything back becomes bittersweet pissed life fluctuate strongly alone lonely guilty mad depressed scared exhausted nothing prepares faith struggle feel lost,negative
got heartbroken phone call earlier today mentor second mother dear friend love telling goodbye selfishly tried talk disbelief much physical pain past year fall last week made scheduled hip surgery week questionable though sounded much peace decision stop cry chest hurt much call relive pain loss beloved mother almost year ago help trying find breathing exercise calm heartfelt video thank helped group going see hockey game bar tonight another beloved friend mine battling cancer hospital really wanted see game bring public tonight going light candle meditation possibly cry sleep mentor transition side painfree thank sharing grief take care,negative
lovely cried way took year therapy learn starting truly able feel wonderful amazing person helping many people world content hope rewarded fold life believe come one,positive
brave better,positive
constant intense emotion fear sense failure regret hopelessness wish didnt live family thing arent looking good death either trapped,negative
thank youre welcome,positive
need help,negative
needed thisi lost best friendmy cousin practically brother since month apart supposed best man wedding year oct nd hurting bad,negative
im praying dear friend spirit safely securely arm universe ie divine feeling pain pain sweet girl beautiful show thinking feeling human capable true love may god bless im sorry profound loss blessing hug,positive
found dad died month half ago depressed also therapist processing emotion,negative
beloved husband part life since died month ago desolate miss much soul mate time heal time reinforces loss absence life forever grief stricken,negative
two year ago mother passed away occasionally browsing article belonging overwhelmed grief transported back time still alive pain loss still fresh feel though passed away yesterday,negative
proud needed,neutral
lost father ive never felt sad hopeless video helped feel like isnt end ill see,negative
thank much helped tremendously keep much bottled helped,positive
appreciate shared channel normalizes intense emotion good model people watch channel sorry loss even may year ago,positive
lost dad two week ago needed little longer life unfair,negative
awe im sorry hear special person passing away totally ok feel grief fully feel sad get matter also apprecaite feeling emotion intensely beautiful need tgat,negative
need much right thankyou,positive
found today pet sick devastated day video helped lot thank,negative
dont want live without mother im afraid lose memory,negative
okay okay,neutral
beautiful pure courageous really struggle allowing sad feeling afraid pain video helped see okay hard okay beautiful aswel thank,positive
someone faith,neutral
although much less youre feeling dog buddy thats yr love dearly diagnosed terminal cancer really really suck seeing son cry tell pet like family everybody think way feel way many sad hate cancer anyone human,negative
lost twin sister due covid december ok sad mad world cant seem move treat people kindness forgive,negative
sorry loss really needed video going much losing grandma girl loved year dating somone messing closing thankful sorry,negative
lost girlfriend yr im broken hurt bad nobody turn,negative
lost man year year cant stop break cry,negative
couldnt help look something like mom died yesterday feel anxious woke suddenly strong painin chest head cold nervousness,negative
faith lead min video know exactly thank god help understanding,positive
watching january different kind tough time still relevant thank,positive
wonderful watch much content right need well done,positive
appreciative mum passed deeply engulfed despair cry howling matter metaphysical belief like sadness unbearable moment broken,negative
thank,positive
video timely relationship part ended miscarriage horrendous move owned property dog adopted life anywhere keep recently working towards buying property got new job allow get suitable mortgage course day ago found job last month might come end last two year awful feel like dream dying also lost cousin car crash aunt cancer need break stop getting upset fucking awful,negative
went cousin died used surgery ive surgery may way scared niece would sit would wipe tear away hug smile went year ago uncle another cousin,negative
brother die brain cancer end month battle,negative
problem processing repressed childhood truma watching helped get place able cry abit take day come back watch cry let go hurt cant help thank video video watched last year helped walk back dark place bit bit thank,negative
video came searching grieve well thank letting go,positive
voice much detail possible help may receive peace healing need name jesus christ amen always good keep tissue pocket learned always welcome come church community support friendship church jesus christ latter day saint,positive
oh wow share helpful,positive
needed lost great aunt lot top everything else thats going,positive
love much emma loved,positive
there never right time want little time one laugh one smell one word many dont even memory loved one passed away old enough know,negative
dad dying write there nothing stop thats hard pill swallow,negative
probably never read thank looking help advice today regarding everything talked wish well definitely helped bit today,neutral
dont cry smile happened,neutral
every soul carrying unseen scar know masterpiece even brokenness weight bear define show incredible strength like sunrise darkest night hope always within reach okay rest heal feel worthy love joy peace let heart whisper truth alone story far keep going light world need even see yourselfgod bless,positive
scrolling youtube video get mind depression ever since boyfriend left believe wasted year life hope get past stage get someone still want back,negative
really needed see thankyou got ask though toilet bush,negative
year later video still putting love light,positive
lost someone cared friend day ago year young motorbyke crash month ago end summer critical condition month crossed rainbow bridge day new year something left unsaid know would understand wont able attend funeral due really bad health condition im dealing wont forgotten deepest condolence everyone lost someone cared psychadelic experience actually reason know know dead lovedones would understand want happy understand word needed,negative
im sorry youre heart feeling heavily want reminder youre helping many amazingly strong beautiful may abba comfort heal also thank much sharing openly,negative
still know grief make life beautiful,positive
thank felt like mom teaching intimate god bless immensely,positive
lost one favorite nurse nih unique person incredibly smart funny real weirdo became fast friend feel like appreciated patient could see big heart rescued stray cat ballet japanese flower arranging buried husband arlington national cemetery love brenda incredibly lucky know,negative
thank sharing,positive
thank realness,positive
going grief really helping thank,positive
almost never married kid every woman meet vanishes week never relationship month took hard work avoiding relationship way avoid disappointment constant inevitable agony loss keep happening lead thought ending,negative
try scorpio,neutral
parent gone feel like dying,negative
suffer complex ptsd lost year old dog month ago hard feel like loosing memory one felt loved love thank much sharing really need really sorry loss,negative
former husband became best friend passed week ago well hardest time havent stopped much reliant upon ended howling like wolf dog making gutteral primitive sound work holiday forb day gone numb fightflight body encapsulated reactionresponse absolute wavesvofxsobbing uncontrollably get lifenis beautiful fragile husband died th stage lung cancer ftom diagnosis death mo god bless,negative
thank needed year old son diagnose morning fighting cancer since july almost late thank video,negative
thank much sharing video raw moment talk practicing preach helped many video walking deal grief real time continued blessing,positive
lost afterlife,negative
lost mother long battle alzheimers disease im really struggling find certainty life death meet loved one,negative
im sorry loss may god rest soul paradise give comfort,negative
thank trying figure process strong emotion flashback stop addiction cried needed almost went back drink helped get craving intense emotion feeling,neutral
wish could believe afterlife dont believe feel certainty isnt point anything,neutral
isnt,negative
remind mum passed away long ago year old nine,neutral
thank video friend lost brother even though knew coming happened course never know gon na feel like going respond sort disappeared sent video believe open advice really beautiful job thank much inspired well pretty strong emotion come human life identifying emotion half battle excepting ok letting express safe thorough creative way good thank,positive
mom told week ago got cancer life difficult many year doctor say got year im ready lose know strong keep going worst part wanting spend every second could also wanting visit mean dealing going two numb struggling get hope thank stranger people love hurt know make feel less alone thank video,negative
youre right focus loss pain feel seems bring relief instead shoving getting frustrated find tear rolling cheek let check see thinking feel,negative
everything,neutral
thank real,positive
sorry loss hug,negative
showed great way way let happen dont hidejust accept get,positive
cant feel intense emotion order express lost parent watched dying year ago yet feel nothing havent cried yet loved,negative
sorry,negative
step brother passed month ago october past day cry lot last friday work christmas song playing cried thanks video,neutral
emma rock star work psych floor lean heavily video help people intense emotion thank sharing,positive
sorry loss lost mom last year still struggling understand grief overwhelming confusing,negative
